OsID,True Class,Predicted Class,True/False
Os09g0522200,cold,salt,False
Os11g0592200,drought,drought,True
Os01g0699100,stress,stress,True
Os02g0126400,drought,stress,False
Os03g0669100,drought,drought,True
Os04g0620700,drought,salt,False
Os02g0618400,drought,drought,True
Os05g0519700,heat,heat,True
Os02g0677300,cold,cold,True
Os03g0276500,heat,heat,True
Os04g0684900,drought,drought,True
Os01g0862800,drought,drought,True
Os01g0205700,salt,cold,False
Os04g0517100,cold,cold,True
Os05g0556900,drought,heat,False
Os05g0476700,stress,stress,True
Os02g0178800,drought,drought,True
Os03g0820300,salt,drought,False
Os02g0521300,heat,heat,True
Os02g0576700,drought,drought,True
Os04g0684900,drought,drought,True
Os09g0413500,heat,heat,True
Os10g0561400,cold,stress,False
Os09g0522200,drought,drought,True
Os11g0482000,drought,drought,True
Os03g0230300,drought,drought,True
Os02g0576700,stress,drought,False
Os03g0154700,drought,drought,True
Os05g0421600,drought,drought,True
Os02g0661100,salt,cold,False
Os02g0576700,drought,drought,True
Os03g0166000,heat,drought,False
Os09g0413500,heat,heat,True
Os03g0285800,salt,cold,False
Os01g0699100,salt,stress,False
Os02g0766700,drought,stress,False
Os01g0719100,heat,heat,True
Os01g0270100,stress,stress,True
Os08g0546800,salt,drought,False
Os03g0680800,stress,drought,False
Os05g0556900,drought,heat,False
Os02g0259900,heat,heat,True
Os09g0522000,salt,salt,True
Os03g0285800,salt,cold,False
Os02g0126400,drought,stress,False
Os01g0884300,salt,heat,False
Os05g0476700,stress,stress,True
Os01g0884300,cold,heat,False
Os01g0741900,stress,stress,True
Os02g0766700,stress,stress,True
Os07g0523300,heat,heat,True
Os02g0758000,heat,heat,True
Os01g0837500,heat,drought,False
Os02g0622500,heat,heat,True
Os08g0492500,drought,stress,False
Os03g0286900,drought,heat,False
Os09g0109600,drought,drought,True
Os02g0701300,stress,stress,True
Os02g0701300,cold,stress,False
Os03g0820300,drought,cold,False
Os11g0446000,drought,drought,True
Os01g0626400,stress,drought,False
Os03g0267000,heat,heat,True
Os03g0329200,heat,heat,True
Os04g0578000,drought,drought,True
Os07g0143200,stress,drought,False
Os05g0519700,heat,heat,True
Os03g0285800,cold,cold,True
Os03g0166000,heat,heat,True
Os04g0659900,stress,stress,True
Os05g0476700,stress,stress,True
Os03g0315400,drought,salt,False
Os04g0401700,drought,stress,False
Os05g0519700,heat,heat,True
Os02g0579600,stress,stress,True
Os03g0329200,heat,heat,True
Os04g0460600,drought,drought,True
Os01g0549700,salt,drought,False
Os04g0684900,drought,drought,True
Os01g0757500,heat,heat,True
Os01g0699100,salt,stress,False
Os03g0161900,heat,heat,True
Os01g0757500,heat,heat,True
Os01g0699100,stress,stress,True
Os08g0492500,salt,stress,False
Os04g0517100,cold,cold,True
Os03g0285800,drought,cold,False
Os01g0699100,stress,stress,True
Os01g0884300,salt,salt,True
Os03g0820300,drought,cold,False
Os04g0401700,drought,stress,False
Os01g0626400,drought,drought,True
Os03g0180800,salt,salt,True
Os01g0962600,drought,drought,True
Os09g0522200,cold,drought,False
Os09g0522200,drought,drought,True
Os04g0538000,heat,heat,True
Os03g0735300,drought,drought,True
Os01g0962600,drought,drought,True
Os01g0840700,drought,drought,True
Os01g0962600,drought,drought,True
Os02g0658800,heat,heat,True
Os03g0820300,drought,drought,True
