OsID,True Class,Predicted Class,True/False
Os03g0179400,334,334,True
Os01g0741900,161,161,True
Os01g0686800,17,17,True
Os04g0107900,34,34,True
Os04g0517100,7,7,True
Os01g0805600,42,42,True
Os01g0839100,191,191,True
Os01g0968800,79,79,True
Os03g0820300,3,3,True
Os03g0669100,18,18,True
Os03g0267200,26,26,True
Os10g0465800,55,55,True
Os11g0140400,137,137,True
Os03g0267000,12,12,True
Os01g0699100,1,1,True
Unknown,0,0,True
Os05g0542500,35,35,True
Os02g0782500,21,21,True
Os04g0684900,22,22,True
Os03g0315400,15,15,True
Os05g0542500,35,35,True
Os07g0154100,24,24,True
Os09g0522200,2,2,True
Os11g0433900,30,30,True
Os04g0541700,23,23,True
Os03g0286900,10,10,True
Os02g0736400,285,285,True
Os04g0637300,170,170,True
Os05g0213500,340,340,True
Unknown,0,0,True
Os02g0618400,296,296,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os01g0100700,109,109,True
Os08g0492500,5,5,True
Os02g0766700,16,16,True
Os02g0669100,84,84,True
Os02g0126400,6,6,True
Os03g0329200,39,39,True
Os04g0600200,173,173,True
Os08g0118000,62,62,True
Os03g0285800,13,13,True
Os09g0286400,156,156,True
Os04g0460600,47,47,True
Os02g0766700,16,16,True
Os12g0555000,164,164,True
Os03g0223400,113,113,True
Os02g0677300,48,48,True
Os01g0173100,160,160,True
Os02g0758000,20,20,True
Os03g0286900,10,10,True
Os01g0184100,41,41,True
Os05g0542500,35,35,True
Os01g0884300,11,11,True
Os03g0128700,32,32,True
Os07g0685700,57,57,True
Os12g0572000,302,302,True
Os05g0349800,172,172,True
Os11g0140400,137,137,True
Os02g0782500,21,21,True
Os01g0136200,25,25,True
Os11g0704500,335,335,True
Os02g0782500,21,21,True
Os02g0276500,139,139,True
Os09g0555500,261,261,True
Os10g0465800,55,55,True
Os07g0523300,105,105,True
Os01g0136200,25,25,True
Os08g0492500,5,5,True
Os02g0758000,20,20,True
Os02g0766700,16,16,True
Os02g0701300,45,45,True
Os02g0304900,348,348,True
Unknown,0,0,True
Unknown,0,0,True
Os01g0184100,41,41,True
Os08g0492500,5,5,True
Os04g0401700,14,14,True
Os01g0699100,1,1,True
Os03g0170900,127,127,True
Unknown,0,0,True
Os03g0669100,18,18,True
Os03g0230300,37,37,True
Os04g0517100,7,7,True
Os01g0205700,33,33,True
Os03g0286900,10,10,True
Os08g0525600,44,44,True
Os03g0286900,10,10,True
Os03g0667800,152,152,True
Os02g0579600,28,28,True
Unknown,0,0,True
Os08g0492500,5,5,True
Os05g0516600,255,255,True
Os08g0118000,62,62,True
Os09g0522200,2,2,True
Os01g0884300,11,11,True
Os02g0661100,58,58,True
Os01g0862800,330,330,True
Os01g0182600,51,51,True
Os04g0517100,7,7,True
Unknown,0,0,True
Os03g0820300,3,3,True
Os01g0658900,234,234,True
Os03g0315400,15,15,True
Os02g0126400,6,6,True
Os03g0140400,372,372,True
Os04g0401700,14,14,True
Os10g0177200,143,143,True
Os08g0492500,5,5,True
Os04g0517100,7,7,True
Os03g0681900,115,115,True
Os05g0476700,4,4,True
Os05g0519700,19,19,True
Os04g0401700,14,14,True
Os01g0136200,25,25,True
Os08g0199525,140,140,True
Os04g0531400,188,188,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os02g0649300,9,9,True
Os01g0173100,160,160,True
Os03g0820300,3,3,True
Os05g0381400,43,43,True
Os08g0492500,5,5,True
Os01g0962600,123,123,True
Os02g0677300,48,48,True
Os01g0699100,1,1,True
Os01g0699100,1,1,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os03g0820300,3,3,True
Os09g0522200,2,2,True
Os01g0955100,27,27,True
Os12g0150200,215,215,True
Os06g0211200,87,87,True
Os03g0230300,37,37,True
Os04g0659100,159,159,True
Os03g0337800,108,108,True
Os04g0460600,47,47,True
Os03g0669100,18,18,True
Os02g0766700,16,16,True
Os02g0810900,195,195,True
Os02g0198900,98,98,True
Os03g0319400,209,209,True
Os12g0169400,40,40,True
Os01g0170000,85,85,True
Os02g0624300,31,31,True
Os04g0584600,169,169,True
Os01g0699100,1,1,True
Os11g0592200,303,303,True
Os01g0205700,33,33,True
Os01g0648000,194,194,True
Os03g0286900,10,10,True
Os06g0643900,254,254,True
Os03g0267000,12,12,True
Os08g0492500,5,5,True
Os02g0126400,6,6,True
Os02g0661100,58,58,True
Os09g0542000,71,71,True
Os05g0476700,4,4,True
Os02g0198900,98,98,True
Os05g0584200,288,288,True
Os01g0723200,119,119,True
Os03g0267000,12,12,True
Os03g0286900,10,10,True
Os03g0669100,18,18,True
Os08g0118000,62,62,True
Os01g0699100,1,1,True
Os11g0264300,250,250,True
Os02g0758000,20,20,True
Os04g0428950,186,47,False
Os02g0758000,20,20,True
Os03g0576700,73,73,True
Unknown,0,0,True
Os08g0504700,72,72,True
Os07g0154100,24,24,True
Os08g0199525,140,140,True
Os07g0523300,105,105,True
Os04g0401700,14,14,True
Os04g0668900,167,167,True
Os05g0519700,19,19,True
Os12g0169400,40,40,True
Os05g0556900,74,74,True
Os09g0522000,8,8,True
Os07g0685700,57,57,True
Os03g0815100,29,29,True
Os02g0576700,36,36,True
Os10g0177200,143,143,True
Os11g0702100,38,38,True
Os03g0109600,144,144,True
Os01g0136200,25,25,True
Os02g0122100,252,252,True
Os03g0267000,12,12,True
Unknown,0,0,True
Os02g0198900,98,98,True
Os04g0598200,112,112,True
Os01g0191300,243,243,True
Os09g0522200,2,2,True
Os07g0184300,103,103,True
Os03g0820500,122,122,True
Os09g0522200,2,2,True
Os04g0428950,186,47,False
Os05g0207300,177,177,True
Os08g0344100,94,94,True
Os04g0540900,88,88,True
Os03g0286900,10,10,True
Os05g0476700,4,4,True
Unknown,0,0,True
Os07g0154100,24,24,True
Os02g0649300,9,9,True
Os02g0649300,9,9,True
Unknown,0,0,True
Os01g0358400,131,131,True
Os10g0465800,55,55,True
Os01g0686800,17,17,True
Os03g0128700,32,32,True
Os11g0175500,76,76,True
Os02g0649300,9,9,True
Os11g0702100,38,38,True
Os01g0699100,1,1,True
Os01g0805600,42,42,True
Os03g0669100,18,18,True
Os01g0136200,25,25,True
Os02g0126400,6,6,True
Os04g0668900,167,167,True
Unknown,0,0,True
Os04g0401700,14,14,True
Os03g0820300,3,3,True
Os02g0649300,9,9,True
Os06g0319700,75,75,True
Os05g0519700,19,19,True
Os01g0884300,11,11,True
Os08g0559200,178,178,True
Unknown,0,0,True
Os02g0276500,139,139,True
Os05g0519700,19,19,True
Os08g0503800,225,225,True
Os11g0433900,30,30,True
Os03g0302200,63,63,True
Os08g0374600,146,146,True
Os09g0522000,8,8,True
Os05g0476700,4,4,True
Os04g0401700,14,14,True
Os01g0752500,165,165,True
Os02g0782500,21,21,True
Os08g0546800,124,124,True
Os02g0622500,90,90,True
Os04g0517100,7,7,True
Os10g0521000,52,52,True
Os02g0126400,6,6,True
Os02g0649300,9,9,True
Os02g0576700,36,36,True
Os05g0150500,314,314,True
Os08g0525600,44,44,True
Os04g0659100,159,159,True
Os04g0541700,23,23,True
Unknown,0,0,True
