OsID,True Class,Predicted Class,True/False
Os11g0704500,328,328,True
Os09g0279600,161,161,True
Os03g0669100,17,17,True
Os05g0542500,34,34,True
Os09g0522000,7,7,True
Os05g0381400,42,42,True
Os03g0207250,190,190,True
Os02g0284600,80,80,True
Os05g0476700,3,3,True
Os05g0519700,18,18,True
Os01g0955100,26,26,True
Os03g0180800,55,55,True
Os11g0482000,137,137,True
Os03g0285800,12,12,True
Os09g0522200,1,1,True
Os01g0699100,0,0,True
Os02g0576700,35,35,True
Os04g0684900,21,21,True
Os04g0541700,22,22,True
Os02g0766700,15,15,True
Os02g0576700,35,35,True
Os01g0136200,24,24,True
Os03g0820300,2,2,True
Os02g0624300,29,29,True
Os07g0154100,23,23,True
Os01g0884300,10,10,True
Os01g0140500,286,286,True
Os11g0184900,170,170,True
Os08g0540400,346,346,True
Os01g0699100,0,0,True
Os04g0448900,296,296,True
Os03g0669100,17,17,True
Os09g0522200,1,1,True
Os09g0325700,110,110,True
Os02g0126400,5,5,True
Os01g0686800,16,16,True
Os01g0170000,83,83,True
Os04g0517100,6,6,True
Os12g0169400,39,39,True
Os03g0736500,173,173,True
Os03g0302200,62,62,True
Os04g0401700,13,13,True
Os03g0598800,156,156,True
Os02g0677300,47,47,True
Os01g0686800,16,16,True
Os01g0752500,165,165,True
Os03g0424500,113,113,True
Os03g0680800,48,48,True
Os01g0741900,159,159,True
Os02g0782500,20,20,True
Os01g0884300,10,10,True
Os01g0805600,41,41,True
Os02g0576700,35,35,True
Os03g0267000,11,11,True
Os01g0205700,32,32,True
Os02g0661100,56,56,True
Os11g0592200,302,302,True
Os04g0600200,168,168,True
Os11g0482000,137,137,True
Os04g0684900,21,21,True
Os03g0267200,25,25,True
Os06g0708400,336,47,False
Os04g0684900,21,21,True
Os08g0199525,135,135,True
Os06g0147800,249,249,True
Os03g0180800,55,55,True
Os03g0154700,105,105,True
Os03g0267200,25,25,True
Os02g0126400,5,5,True
Os02g0782500,20,20,True
Os01g0686800,16,16,True
Os07g0684900,45,49,False
Os02g0759400,353,353,True
Os01g0699100,0,0,True
Os01g0699100,0,0,True
Os01g0805600,41,41,True
Os02g0126400,5,5,True
Os03g0315400,14,14,True
Os09g0522200,1,1,True
Os01g0141000,123,123,True
Os01g0699100,0,0,True
Os05g0519700,18,18,True
Os11g0702100,37,37,True
Os09g0522000,7,7,True
Os04g0107900,33,33,True
Os01g0884300,10,10,True
Os02g0701300,44,44,True
Os01g0884300,10,10,True
Os11g0446000,153,153,True
Os03g0815100,28,28,True
Os01g0699100,0,0,True
Os02g0126400,5,5,True
Os01g0210700,260,260,True
Os03g0302200,62,62,True
Os03g0820300,2,2,True
Os03g0267000,11,11,True
Os02g0759000,58,58,True
Os02g0655200,331,331,True
Os10g0521000,51,51,True
Os09g0522000,7,7,True
Os01g0699100,0,0,True
Os05g0476700,3,3,True
Os02g0813500,237,237,True
Os02g0766700,15,15,True
Os04g0517100,6,6,True
Os08g0557700,367,367,True
Os03g0315400,14,14,True
Os03g0109600,143,143,True
Os02g0126400,5,5,True
Os09g0522000,7,7,True
Os01g0270100,115,115,True
Os08g0492500,4,4,True
Os02g0758000,19,19,True
Os03g0315400,14,14,True
Os03g0267200,25,25,True
Os02g0287000,141,141,True
Os02g0644000,189,189,True
Os03g0669100,17,17,True
Os09g0522200,1,1,True
Os03g0286900,9,9,True
Os01g0741900,159,159,True
Os05g0476700,3,3,True
Os08g0525600,43,43,True
Os02g0126400,5,5,True
Os08g0546800,120,120,True
Os03g0680800,48,48,True
Os09g0522200,1,1,True
Os09g0522200,1,1,True
Os03g0669100,17,17,True
Os09g0522200,1,1,True
Os05g0476700,3,3,True
Os03g0820300,2,2,True
Os02g0579600,27,27,True
Os09g0486500,215,215,True
Os04g0540900,88,88,True
Os11g0702100,37,37,True
Os01g0173100,158,158,True
Os01g0100700,108,108,True
Os02g0677300,47,76,False
Os05g0519700,18,18,True
Os01g0686800,16,16,True
Os04g0607500,195,195,True
Os01g0571300,98,76,False
Os02g0774300,210,210,True
Os01g0184100,40,40,True
Os10g0419300,85,85,True
Os03g0128700,31,31,True
Os04g0637300,169,169,True
Os09g0522200,1,1,True
Os06g0206900,300,300,True
Os04g0107900,33,33,True
Os02g0810900,192,192,True
Os01g0884300,10,10,True
Os05g0516600,246,107,False
Os03g0285800,12,12,True
Os02g0126400,5,5,True
Os04g0517100,6,6,True
Os02g0759000,58,58,True
Os08g0504700,71,71,True
Os08g0492500,4,4,True
Os01g0571300,98,98,True
Os03g0645900,291,291,True
Os03g0735300,119,119,True
Os03g0285800,12,12,True
Os01g0884300,10,10,True
Os05g0519700,18,18,True
Os03g0302200,62,62,True
Os09g0522200,1,1,True
Os02g0291400,257,257,True
Os02g0782500,20,20,True
Os02g0462800,188,47,False
Os02g0782500,20,20,True
Os05g0556900,73,73,True
Os01g0699100,0,0,True
Os03g0576700,72,72,True
Os01g0136200,24,24,True
Os02g0287000,141,141,True
Os03g0154700,105,105,True
Os03g0315400,14,14,True
Os07g0186000,172,172,True
Os02g0758000,19,19,True
Os01g0184100,40,40,True
Os06g0319700,74,74,True
Os02g0649300,8,8,True
Os02g0661100,56,56,True
Os11g0433900,30,30,True
Os03g0230300,36,36,True
Os03g0109600,143,143,True
Os03g0329200,38,38,True
Os01g0867300,148,148,True
Os03g0267200,25,25,True
Os04g0445100,248,248,True
Os03g0285800,12,12,True
Os01g0699100,0,0,True
Os01g0571300,98,98,True
Os03g0223400,111,111,True
Os03g0643300,240,240,True
Os03g0820300,2,2,True
Os04g0603200,103,103,True
Os01g0962600,126,126,True
Os03g0820300,2,2,True
Os02g0462800,188,47,False
Os08g0559200,177,177,True
Os03g0245800,94,94,True
Os01g0549700,87,87,True
Os01g0884300,10,10,True
Os08g0492500,4,4,True
Os01g0699100,0,0,True
Os01g0136200,24,24,True
Os03g0286900,9,9,True
Os03g0286900,9,9,True
Os01g0699100,0,0,True
Os03g0794700,131,131,True
Os03g0180800,55,55,True
Os03g0669100,17,17,True
