OsID,True Class,Predicted Class,True/False
Os04g0475500,328,239,False
Os04g0659100,161,161,True
Os01g0686800,17,17,True
Os04g0107900,34,29,False
Os04g0517100,7,7,True
Os01g0805600,42,42,True
Os02g0644000,190,190,True
Os06g0662200,80,80,True
Os03g0820300,3,3,True
Os03g0669100,18,18,True
Os03g0267200,26,26,True
Os10g0465800,55,55,True
Os08g0199300,137,137,True
Os03g0267000,12,12,True
Os01g0699100,1,1,True
Unknown,0,0,True
Os05g0542500,35,35,True
Os02g0782500,21,21,True
Os04g0684900,22,22,True
Os03g0315400,15,15,True
Os05g0542500,35,35,True
Os07g0154100,24,24,True
Os09g0522200,2,2,True
Os03g0815100,29,14,False
Os04g0541700,23,23,True
Os03g0286900,10,10,True
Os02g0736400,286,59,False
Os04g0637300,170,91,False
Os01g0859300,346,218,False
Unknown,0,0,True
Os06g0195800,296,296,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os04g0598200,110,21,False
Os08g0492500,5,5,True
Os02g0766700,16,16,True
Os06g0130100,83,83,True
Os02g0126400,6,6,True
Os03g0329200,39,39,True
Os07g0186000,173,22,False
Os08g0118000,62,62,True
Os03g0285800,13,13,True
Os09g0375100,156,156,True
Os04g0460600,47,47,True
Os02g0766700,16,16,True
Os12g0555000,165,8,False
Os05g0276500,113,156,False
Os02g0677300,48,48,True
Os01g0173100,159,159,True
Os02g0758000,20,20,True
Os03g0286900,10,10,True
Os01g0184100,41,41,True
Os05g0542500,35,35,True
Os01g0884300,11,11,True
Os03g0128700,32,32,True
Os03g0180800,56,56,True
Os12g0572000,302,82,False
Os04g0584600,168,43,False
Os08g0199300,137,137,True
Os02g0782500,21,21,True
Os01g0136200,25,25,True
Os07g0476500,336,49,False
Os02g0782500,21,21,True
Os02g0276500,135,135,True
Os04g0445100,249,249,True
Os10g0465800,55,29,False
Os07g0523300,105,105,True
Os01g0136200,25,25,True
Os08g0492500,5,5,True
Os02g0758000,20,20,True
Os02g0766700,16,16,True
Os02g0701300,45,47,False
Os08g0545500,353,8,False
Unknown,0,0,True
Unknown,0,0,True
Os01g0184100,41,41,True
Os08g0492500,5,5,True
Os04g0401700,14,14,True
Os01g0699100,1,1,True
Os01g0851000,123,17,False
Unknown,0,0,True
Os03g0669100,18,18,True
Os03g0230300,37,37,True
Os04g0517100,7,7,True
Os01g0205700,33,20,False
Os03g0286900,10,10,True
Os08g0525600,44,44,True
Os03g0286900,10,10,True
Os03g0161900,153,153,True
Os02g0579600,28,28,True
Unknown,0,0,True
Os08g0492500,5,5,True
Os02g0122100,260,229,False
Os08g0118000,62,62,True
Os09g0522200,2,2,True
Os01g0884300,11,11,True
Os07g0685700,58,58,True
Os03g0363600,331,292,False
Os01g0182600,51,51,True
Os04g0517100,7,7,True
Unknown,0,0,True
Os03g0820300,3,3,True
Os01g0658900,237,237,True
Os03g0315400,15,15,True
Os02g0126400,6,6,True
Os02g0121300,367,70,False
Os04g0401700,14,14,True
Os10g0177200,143,143,True
Os08g0492500,5,5,True
Os04g0517100,7,7,True
Os03g0681900,115,63,False
Os05g0476700,4,4,True
Os05g0519700,19,19,True
Os04g0401700,14,14,True
Os01g0136200,25,25,True
Os03g0805100,141,106,False
Os02g0462800,189,3,False
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os02g0649300,9,9,True
Os01g0173100,159,159,True
Os03g0820300,3,3,True
Os05g0381400,43,43,True
Os08g0492500,5,5,True
Os03g0735300,120,55,False
Os02g0677300,48,48,True
Os01g0699100,1,1,True
Os01g0699100,1,1,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os03g0820300,3,3,True
Os09g0522200,2,2,True
Os01g0955100,27,27,True
Os03g0348900,215,354,False
Os01g0549700,88,88,True
Os03g0230300,37,37,True
Os01g0220300,158,158,True
Os03g0337800,108,143,False
Os04g0460600,47,44,False
Os03g0669100,18,18,True
Os02g0766700,16,16,True
Os01g0839100,195,195,True
Os02g0198900,98,49,False
Os07g0163000,210,90,False
Os12g0169400,40,40,True
Os02g0669100,85,85,True
Os11g0433900,31,31,True
Os04g0600200,169,169,True
Os01g0699100,1,1,True
Os02g0753800,300,94,False
Os01g0205700,33,33,True
Os01g0648000,192,192,True
Os03g0286900,10,10,True
Os05g0303000,246,246,True
Os03g0267000,12,12,True
Os08g0492500,5,5,True
Os02g0126400,6,6,True
Os07g0685700,58,51,False
Os09g0542000,71,71,True
Os05g0476700,4,4,True
Os02g0198900,98,49,False
Os03g0656900,291,199,False
Os01g0723200,119,119,True
Os03g0267000,12,12,True
