OsID,True Class,Predicted Class,True/False
Os04g0475500,328,328,True
Os04g0659100,161,161,True
Os01g0686800,17,17,True
Os04g0107900,34,34,True
Os04g0517100,7,7,True
Os01g0805600,42,42,True
Os02g0644000,190,190,True
Os06g0662200,80,80,True
Os03g0820300,3,3,True
Os03g0669100,18,18,True
Os03g0267200,26,26,True
Os10g0465800,55,55,True
Os08g0199300,137,137,True
Os03g0267000,12,12,True
Os01g0699100,1,1,True
Unknown,0,0,True
Os05g0542500,35,35,True
Os02g0782500,21,21,True
Os04g0684900,22,22,True
Os03g0315400,15,15,True
Os05g0542500,35,35,True
Os07g0154100,24,24,True
Os09g0522200,2,2,True
Os03g0815100,29,29,True
Os04g0541700,23,23,True
Os03g0286900,10,10,True
Os02g0736400,286,286,True
Os04g0637300,170,170,True
Os01g0859300,346,346,True
Unknown,0,0,True
Os06g0195800,296,296,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os04g0598200,110,110,True
Os08g0492500,5,5,True
Os02g0766700,16,16,True
Os06g0130100,83,83,True
Os02g0126400,6,6,True
Os03g0329200,39,39,True
Os07g0186000,173,173,True
Os08g0118000,62,62,True
Os03g0285800,13,13,True
Os09g0375100,156,156,True
Os04g0460600,47,45,False
Os02g0766700,16,16,True
Os12g0555000,165,165,True
Os05g0276500,113,113,True
Os02g0677300,48,48,True
Os01g0173100,159,159,True
Os02g0758000,20,20,True
Os03g0286900,10,10,True
Os01g0184100,41,41,True
Os05g0542500,35,35,True
Os01g0884300,11,11,True
Os03g0128700,32,32,True
Os03g0180800,56,56,True
Os12g0572000,302,302,True
Os04g0584600,168,168,True
Os08g0199300,137,137,True
Os02g0782500,21,21,True
Os01g0136200,25,25,True
Os07g0476500,336,49,False
Os02g0782500,21,21,True
Os02g0276500,135,135,True
Os04g0445100,249,249,True
Os10g0465800,55,55,True
Os07g0523300,105,105,True
Os01g0136200,25,25,True
Os08g0492500,5,5,True
Os02g0758000,20,20,True
Os02g0766700,16,16,True
Os02g0701300,45,45,True
Os08g0545500,353,353,True
Unknown,0,0,True
Unknown,0,0,True
Os01g0184100,41,41,True
Os08g0492500,5,5,True
Os04g0401700,14,14,True
Os01g0699100,1,1,True
Os01g0851000,123,123,True
Unknown,0,0,True
Os03g0669100,18,18,True
Os03g0230300,37,37,True
Os04g0517100,7,7,True
Os01g0205700,33,33,True
Os03g0286900,10,10,True
Os08g0525600,44,44,True
Os03g0286900,10,10,True
Os03g0161900,153,153,True
Os02g0579600,28,28,True
Unknown,0,0,True
Os08g0492500,5,5,True
Os02g0122100,260,260,True
Os08g0118000,62,62,True
Os09g0522200,2,2,True
Os01g0884300,11,11,True
Os07g0685700,58,58,True
Os03g0363600,331,331,True
Os01g0182600,51,51,True
Os04g0517100,7,7,True
Unknown,0,0,True
Os03g0820300,3,3,True
Os01g0658900,237,237,True
Os03g0315400,15,15,True
Os02g0126400,6,6,True
Os02g0121300,367,367,True
Os04g0401700,14,14,True
Os10g0177200,143,143,True
Os08g0492500,5,5,True
Os04g0517100,7,7,True
Os03g0681900,115,115,True
Os05g0476700,4,4,True
Os05g0519700,19,19,True
Os04g0401700,14,14,True
Os01g0136200,25,25,True
Os03g0805100,141,141,True
Os02g0462800,189,189,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os02g0649300,9,9,True
Os01g0173100,159,159,True
Os03g0820300,3,3,True
Os05g0381400,43,43,True
Os08g0492500,5,5,True
Os03g0735300,120,120,True
Os02g0677300,48,48,True
Os01g0699100,1,1,True
Os01g0699100,1,1,True
Os01g0686800,17,17,True
Os01g0699100,1,1,True
Os03g0820300,3,3,True
Os09g0522200,2,2,True
Os01g0955100,27,27,True
Os03g0348900,215,215,True
Os01g0549700,88,88,True
Os03g0230300,37,37,True
Os01g0220300,158,158,True
Os03g0337800,108,108,True
Os04g0460600,47,45,False
Os03g0669100,18,18,True
Os02g0766700,16,16,True
Os01g0839100,195,195,True
Os02g0198900,98,76,False
Os07g0163000,210,210,True
Os12g0169400,40,40,True
Os02g0669100,85,85,True
Os11g0433900,31,31,True
Os04g0600200,169,169,True
Os01g0699100,1,1,True
Os02g0753800,300,300,True
Os01g0205700,33,33,True
Os01g0648000,192,192,True
Os03g0286900,10,10,True
Os05g0303000,246,246,True
Os03g0267000,12,12,True
Os08g0492500,5,5,True
Os02g0126400,6,6,True
Os07g0685700,58,58,True
Os09g0542000,71,71,True
Os05g0476700,4,4,True
Os02g0198900,98,98,True
Os03g0656900,291,291,True
Os01g0723200,119,119,True
Os03g0267000,12,12,True
Os03g0286900,10,10,True
Os03g0669100,18,18,True
Os08g0118000,62,62,True
Os01g0699100,1,1,True
Os12g0641100,257,257,True
Os02g0758000,20,20,True
Os04g0531400,188,47,False
Os02g0758000,20,20,True
Os03g0576700,73,73,True
Unknown,0,0,True
Os08g0504700,72,72,True
Os07g0154100,24,24,True
Os03g0805100,141,141,True
Os07g0523300,105,105,True
Os04g0401700,14,14,True
Os04g0668900,172,172,True
Os05g0519700,19,19,True
Os12g0169400,40,40,True
Os05g0556900,74,74,True
Os09g0522000,8,8,True
Os03g0180800,56,56,True
Os02g0624300,30,30,True
Os02g0576700,36,36,True
Os10g0177200,143,143,True
Os11g0702100,38,38,True
Os08g0374600,148,148,True
Os01g0136200,25,25,True
Os08g0167500,248,248,True
Os03g0267000,12,12,True
Unknown,0,0,True
Os02g0198900,98,98,True
Os09g0325700,111,111,True
Os08g0323700,240,240,True
Os09g0522200,2,2,True
Os07g0184300,103,103,True
Os07g0559700,126,126,True
Os09g0522200,2,2,True
Os04g0531400,188,47,False
Os03g0230500,177,177,True
Os03g0669200,94,94,True
Os06g0211200,87,87,True
Os03g0286900,10,10,True
Os05g0476700,4,4,True
Unknown,0,0,True
Os07g0154100,24,24,True
Os02g0649300,9,9,True
Os02g0649300,9,9,True
Unknown,0,0,True
Os01g0358400,131,131,True
Os10g0465800,55,55,True
Os01g0686800,17,17,True
Os03g0128700,32,32,True
Os11g0175500,76,45,False
Os02g0649300,9,9,True
Os11g0702100,38,38,True
Os01g0699100,1,1,True
Os01g0805600,42,42,True
Os03g0669100,18,18,True
Os01g0136200,25,25,True
Os02g0126400,6,6,True
Os04g0668900,172,172,True
Unknown,0,0,True
Os04g0401700,14,14,True
Os03g0820300,3,3,True
Os02g0649300,9,9,True
Os06g0319700,75,75,True
Os05g0519700,19,19,True
Os01g0884300,11,11,True
Os08g0559200,178,178,True
Unknown,0,0,True
Os02g0276500,135,135,True
Os05g0519700,19,19,True
Os01g0559500,223,223,True
Os03g0815100,29,29,True
Os03g0302200,63,63,True
Os07g0561300,145,145,True
Os09g0522000,8,8,True
Os05g0476700,4,4,True
Os04g0401700,14,14,True
Os01g0276800,163,163,True
Os02g0782500,21,21,True
Os03g0820500,125,125,True
Os02g0622500,90,90,True
Os04g0517100,7,7,True
Os10g0521000,52,52,True
Os02g0126400,6,6,True
Os02g0649300,9,9,True
Os02g0576700,36,36,True
Os05g0150500,324,324,True
Os08g0525600,44,44,True
Os01g0220300,158,158,True
Os04g0541700,23,23,True
Unknown,0,0,True
Os01g0968800,79,79,True
Os02g0766700,16,16,True
Os02g0658800,266,266,True
Os02g0766700,16,16,True
Os07g0561300,145,145,True
Os02g0646400,344,344,True
Unknown,0,0,True
Os02g0782500,21,21,True
Os03g0808900,77,77,True
Os09g0109600,82,82,True
Os03g0128700,32,32,True
Unknown,0,0,True
Os03g0820300,3,3,True
Unknown,0,0,True
Os01g0141000,124,124,True
Os02g0782500,21,21,True
Os08g0492500,5,5,True
Os03g0680800,49,49,True
Os05g0349800,167,167,True
Os09g0522200,2,2,True
Os07g0154100,24,24,True
Os04g0401700,14,14,True
Os03g0286900,10,10,True
Os02g0126400,6,6,True
Os06g0211200,87,87,True
Os03g0681900,115,115,True
Os03g0267200,26,26,True
Os03g0815100,29,29,True
Os03g0669100,18,18,True
Os10g0563600,213,213,True
Os01g0205700,33,33,True
Os02g0579600,28,28,True
Os03g0808900,77,77,True
Os03g0230300,37,37,True
Os02g0758000,20,20,True
Os06g0662200,80,80,True
Os02g0766700,16,16,True
Os09g0522000,8,8,True
Os01g0205700,33,33,True
Os07g0154100,24,24,True
Os04g0517100,7,7,True
Os09g0522200,2,2,True
Os05g0476700,4,4,True
Os02g0126400,6,6,True
Os04g0517100,7,7,True
Os01g0699100,1,1,True
Os01g0805600,42,42,True
Os04g0600200,169,169,True
Os03g0643300,241,241,True
Os04g0684900,22,22,True
Os03g0285800,13,13,True
Os06g0319700,75,75,True
Os06g0211200,87,87,True
Os09g0522200,2,2,True
Os01g0136200,25,25,True
Os03g0390000,107,107,True
Os04g0517100,7,7,True
Os08g0492500,5,5,True
Os01g0699100,1,1,True
Os03g0841800,335,335,True
Os01g0699100,1,1,True
Unknown,0,0,True
Os04g0445100,249,249,True
Os11g0264300,253,253,True
Os03g0820300,3,3,True
Os11g0702100,38,38,True
Os03g0669100,18,18,True
Os02g0782500,21,21,True
Os09g0522200,2,2,True
Os02g0579600,28,28,True
Os02g0134300,151,151,True
Os03g0170900,122,122,True
Os01g0884300,11,11,True
Os05g0303000,246,246,True
Os03g0820300,3,3,True
Os07g0154100,24,24,True
Os05g0476700,4,4,True
Os03g0267000,12,12,True
Os03g0267200,26,26,True
Os09g0522200,2,2,True
Os03g0808900,77,77,True
Os12g0555000,165,165,True
Os05g0476700,4,4,True
Os10g0555100,330,330,True
Os04g0401700,14,14,True
Os04g0684900,22,22,True
Os04g0578000,97,97,True
Os05g0519700,19,19,True
Os01g0184100,41,41,True
Os05g0556900,74,74,True
Os01g0699100,1,1,True
Os02g0701300,45,45,True
Os11g0433900,31,31,True
Os04g0473400,91,91,True
Os09g0109600,82,82,True
Os09g0522000,8,8,True
Os02g0198900,98,98,True
Os01g0859300,346,346,True
Os03g0643300,241,241,True
Os02g0758000,20,20,True
Os03g0285800,13,13,True
Unknown,0,0,True
Os01g0183400,186,186,True
Os08g0525600,44,44,True
Os03g0610400,198,198,True
Os09g0522200,2,2,True
Os04g0107900,34,34,True
Os02g0758000,20,20,True
Os04g0401700,14,14,True
Os04g0517100,7,7,True
Os04g0517100,7,7,True
Os04g0684500,206,206,True
Os04g0538000,67,67,True
Os03g0285800,13,13,True
Os03g0329200,39,39,True
Os01g0699100,1,1,True
Os01g0699100,1,1,True
Unknown,0,0,True
Os05g0335100,281,281,True
Os01g0955100,27,27,True
Os09g0522000,8,8,True
Os01g0686800,17,17,True
Os05g0519700,19,19,True
Os03g0363600,331,331,True
Os02g0649300,9,9,True
Os05g0519700,19,19,True
Os04g0540900,89,89,True
Os01g0851000,123,123,True
Os09g0486500,216,216,True
Os02g0649300,9,9,True
Os02g0624300,30,30,True
Os04g0107900,34,34,True
Os03g0286900,10,10,True
Unknown,0,0,True
Os03g0669100,18,18,True
Os02g0766700,16,16,True
Os03g0166000,61,61,True
Os04g0517100,7,7,True
Os11g0433900,31,31,True
Os05g0519700,19,19,True
Os02g0766700,16,16,True
Os03g0669100,18,18,True
Os08g0492500,5,5,True
Os02g0284600,81,81,True
Os01g0104100,78,78,True
Os09g0456200,203,78,False
